Recording Date,Production Order,Production Line,Material Type,Manufacturing Process,Width Change,Grammage,Length,Width,Reference,Reference Type,Team,Week Day,Shift,Speed,Ventilation 1,Ventilation 2,Ventilation 3,Ventilation 4,Ventilation 5,Ventilation 6,Temperature 1,Temperature 2,Temperature 3,Temperature 4,Temperature 5,Temperature 6,Tension,RC,VC,RC Out?,VC Out?
20180104204200,5160098050,323,PBA02,BPDUP,N,73.0,4900,1850,B3822,B,A,QUI,2,31.07,1206.38,908.42,957.03,839.84,799.91,0.33,151.88,141.73,147.52,120.96,109.67,0.0,19.79,58.6,,"[58,59[",
20180104184500,5160098050,323,PBA02,BPDUP,N,73.0,4900,1850,B3822,B,A,QUI,2,31.5,1162.11,909.94,958.33,840.28,800.56,0.33,139.21,139.22,142.83,113.49,107.95,0.0,19.01,59.3,,"[59,60[",
20180104200437,5160098050,323,PBA02,BPDUP,N,73.0,4900,1850,B3822,B,A,QUI,2,31.51,1206.16,908.2,957.68,840.06,799.91,0.33,148.41,139.94,145.87,116.3,110.39,0.0,18.98,58.9,,"[58,59[",
20180104220500,5160098050,323,PBA02,BPDUP,N,73.0,4900,1850,B3822,B,B,QUI,3,20.37,1146.7,907.34,955.95,841.36,799.91,0.33,127.09,120.71,132.86,117.77,100.61,0.0,19.13,58.9,,"[58,59[",
20180105020554,5160098050,323,PBA02,BPDUP,N,73.0,4900,1850,B3822,B,B,QUI,3,21.83,1146.7,908.64,957.03,840.49,799.26,0.33,124.2,120.8,125.17,112.69,94.32,0.0,3.39,59.1,6.2,"[59,60[","[6.0,6.5["
20180105001023,5160098050,323,PBA02,BPDUP,N,73.0,4900,1850,B3822,B,B,QUI,3,20.4,1146.27,907.77,955.95,840.93,800.13,0.33,124.5,120.67,125.3,112.86,92.93,0.0,20.43,58.9,,"[58,59[",
20180105061211,5160098047,323,PBA02,BPDUP,N,73.0,2460,1850,B3822,B,B,SEX,1,25.08,1028.65,907.34,957.47,841.58,799.91,0.33,133.57,127.65,137.13,115.21,107.95,0.0,20.4,59.7,,"[59,60[",
20180105100400,5160098045,323,PBA02,BPDUP,N,91.0,5520,1850,B3768,B,B,SEX,1,26.09,1103.52,908.85,958.12,841.15,799.26,0.33,153.83,138.92,142.7,115.71,106.61,0.0,21.15,56.8,,"[56,57[",
20180105110942,5160098045,323,PBA02,BPDUP,N,91.0,5520,1850,B3768,B,B,SEX,1,26.07,1104.17,906.9,958.55,842.01,800.35,0.33,153.54,138.54,142.75,116.72,106.61,0.0,20.31,56.9,,"[56,57[",
20180105115820,5160098045,323,PBA02,BPDUP,N,91.0,5520,1850,B3768,B,B,SEX,1,26.11,1104.38,906.25,958.33,841.58,799.7,0.33,154.43,138.62,142.7,116.13,106.06,0.0,22.71,56.9,,"[56,57[",
20180105115820,5160098051,323,PBA02,BPDUP,N,73.0,5520,1850,B3822,B,A,SEX,2,26.11,1104.38,906.25,958.33,841.58,799.7,0.33,154.43,138.62,142.7,116.13,106.06,0.0,22.71,58.2,6.3,"[58,59[","[6.0,6.5["
20180105115820,5160098051,323,PBA02,BPDUP,N,73.0,5520,1850,B3822,B,A,SEX,2,26.11,1104.38,906.25,958.33,841.58,799.7,0.33,154.43,138.62,142.7,116.13,106.06,0.0,22.71,58.2,6.3,"[58,59[","[6.0,6.5["
20180105115820,5160098051,323,PBA02,BPDUP,N,73.0,5520,1850,B3822,B,A,SEX,2,26.11,1104.38,906.25,958.33,841.58,799.7,0.33,154.43,138.62,142.7,116.13,106.06,0.0,22.71,58.3,6.3,"[58,59[","[6.0,6.5["
20180105115820,5160098051,323,PBA02,BPDUP,N,73.0,5520,1850,B3822,B,A,SEX,2,26.11,1104.38,906.25,958.33,841.58,799.7,0.33,154.43,138.62,142.7,116.13,106.06,0.0,22.71,58.3,6.3,"[58,59[","[6.0,6.5["
20180105195912,5160098046,323,PBA02,BPDUP,N,73.0,5020,1850,B3822,B,A,SEX,2,32.1,1223.52,907.55,958.98,841.58,800.56,0.33,154.05,140.36,147.52,117.6,107.95,0.0,22.14,58.2,,"[58,59[",
20180105200052,5160098047,323,PBA02,BPDUP,N,73.0,2460,1850,B3822,B,A,SEX,2,32.1,1223.96,907.12,958.98,841.36,799.91,0.33,154.13,140.79,147.69,117.69,107.95,0.0,23.18,58.0,,"[58,59[",
20180110095500,5160098138,323,PBA02,BPDUP,N,73.0,5120,1850,B3822,B,A,QUA,1,31.26,1221.79,906.68,958.55,840.71,799.91,0.33,151.54,142.53,147.99,117.27,113.28,0.0,21.12,58.6,6.2,"[58,59[","[6.0,6.5["
20180110111111,5160098137,323,PBA02,BPDUP,N,73.0,5120,1850,B3822,B,A,QUA,1,32.1,1221.57,907.12,958.33,841.58,799.91,0.33,153.88,144.79,149.46,121.88,113.74,0.0,19.36,58.5,,"[58,59[",
20180110112339,5160098137,323,PBA02,BPDUP,N,73.0,5120,1850,B3822,B,A,QUA,1,32.08,1222.44,907.34,958.12,842.23,800.35,0.33,153.83,144.83,149.68,118.65,113.32,0.0,18.49,58.4,,"[58,59[",
20180110125700,5160098137,323,PBA02,BPDUP,N,73.0,5120,1850,B3822,B,A,QUA,1,32.15,1222.87,907.77,957.03,840.28,800.13,0.33,153.79,145.89,149.51,118.65,112.99,0.0,17.1,59.4,8.3,"[59,60[","[8.0,8.5["
